"geneid" "chr" "left" "right"
"69" "1053693_ENSG00000110079_MS4A4A" "chr11" "60221657" "60222109"
"70" "1053698_ENSG00000110077_MS4A6A" "chr11" "60225706" "60226717"
"71" "1053698_ENSG00000110079_MS4A4A" "chr11" "60225706" "60226717"
"72" "1053702_ENSG00000110077_MS4A6A" "chr11" "60227810" "60229692"
"73" "1053702_ENSG00000110079_MS4A4A" "chr11" "60227810" "60229692"
"74" "1053705_ENSG00000110077_MS4A6A" "chr11" "60231078" "60231666"
"75" "1053705_ENSG00000110079_MS4A4A" "chr11" "60231078" "60231666"
"76" "1053707_ENSG00000110077_MS4A6A" "chr11" "60232538" "60233685"
"77" "1053707_ENSG00000110079_MS4A4A" "chr11" "60232538" "60233685"
"78" "1053709_ENSG00000110077_MS4A6A" "chr11" "60233840" "60234589"
"79" "1053709_ENSG00000110079_MS4A4A" "chr11" "60233840" "60234589"
"80" "1053712_ENSG00000110077_MS4A6A" "chr11" "60235389" "60235499"
"81" "1053712_ENSG00000110079_MS4A4A" "chr11" "60235389" "60235499"
"82" "1053718_ENSG00000110077_MS4A6A" "chr11" "60237698" "60238346"
"83" "1053718_ENSG00000110079_MS4A4A" "chr11" "60237698" "60238346"
"84" "1053723_ENSG00000110077_MS4A6A" "chr11" "60240465" "60241245"
"85" "1053723_ENSG00000110079_MS4A4A" "chr11" "60240465" "60241245"
"86" "1053727_ENSG00000110077_MS4A6A" "chr11" "60242529" "60243973"
"87" "1053727_ENSG00000110079_MS4A4A" "chr11" "60242529" "60243973"
"88" "1053729_ENSG00000110077_MS4A6A" "chr11" "60244018" "60245569"
"89" "1053729_ENSG00000110079_MS4A4A" "chr11" "60244018" "60245569"
"90" "1053730_ENSG00000110077_MS4A6A" "chr11" "60245570" "60246231"
"91" "1053730_ENSG00000110079_MS4A4A" "chr11" "60245570" "60246231"
"92" "1053731_ENSG00000110077_MS4A6A" "chr11" "60246232" "60247612"
"93" "1053731_ENSG00000110079_MS4A4A" "chr11" "60246232" "60247612"
"94" "1053735_ENSG00000110077_MS4A6A" "chr11" "60248443" "60249331"
"95" "1053735_ENSG00000110079_MS4A4A" "chr11" "60248443" "60249331"
"96" "1053736_ENSG00000110077_MS4A6A" "chr11" "60249332" "60249782"
"97" "1053736_ENSG00000110079_MS4A4A" "chr11" "60249332" "60249782"
"98" "1053739_ENSG00000110077_MS4A6A" "chr11" "60251069" "60252151"
"99" "1053739_ENSG00000110079_MS4A4A" "chr11" "60251069" "60252151"
"100" "1053741_ENSG00000110077_MS4A6A" "chr11" "60252356" "60253157"
"101" "1053741_ENSG00000110079_MS4A4A" "chr11" "60252356" "60253157"
"102" "1053745_ENSG00000110077_MS4A6A" "chr11" "60255418" "60255614"
"103" "1053745_ENSG00000110079_MS4A4A" "chr11" "60255418" "60255614"
"104" "1053748_ENSG00000110077_MS4A6A" "chr11" "60256345" "60256557"
"105" "1053748_ENSG00000110079_MS4A4A" "chr11" "60256345" "60256557"
"106" "1053752_ENSG00000110077_MS4A6A" "chr11" "60257908" "60258113"
"107" "1053752_ENSG00000110079_MS4A4A" "chr11" "60257908" "60258113"
"108" "1053755_ENSG00000110077_MS4A6A" "chr11" "60258796" "60259273"
"109" "1053755_ENSG00000110079_MS4A4A" "chr11" "60258796" "60259273"
"110" "1053760_ENSG00000110077_MS4A6A" "chr11" "60260122" "60261394"
"111" "1053760_ENSG00000110079_MS4A4A" "chr11" "60260122" "60261394"
"112" "1053761_ENSG00000110077_MS4A6A" "chr11" "60261395" "60261899"
"113" "1053761_ENSG00000110079_MS4A4A" "chr11" "60261395" "60261899"
"114" "1053763_ENSG00000110077_MS4A6A" "chr11" "60262216" "60262524"
"115" "1053763_ENSG00000110079_MS4A4A" "chr11" "60262216" "60262524"
"116" "1053764_ENSG00000110077_MS4A6A" "chr11" "60262525" "60263592"
"117" "1053764_ENSG00000110079_MS4A4A" "chr11" "60262525" "60263592"
"118" "1053765_ENSG00000110077_MS4A6A" "chr11" "60263593" "60263998"
"119" "1053765_ENSG00000110079_MS4A4A" "chr11" "60263593" "60263998"
"120" "1053766_ENSG00000110077_MS4A6A" "chr11" "60263999" "60264015"
"121" "1053766_ENSG00000110079_MS4A4A" "chr11" "60263999" "60264015"
"122" "1053773_ENSG00000110077_MS4A6A" "chr11" "60265183" "60266454"
"123" "1053773_ENSG00000110079_MS4A4A" "chr11" "60265183" "60266454"
"124" "1053777_ENSG00000110077_MS4A6A" "chr11" "60266789" "60267452"
"125" "1053777_ENSG00000110079_MS4A4A" "chr11" "60266789" "60267452"
"126" "1053787_ENSG00000110077_MS4A6A" "chr11" "60272423" "60272457"
"127" "1053787_ENSG00000110079_MS4A4A" "chr11" "60272423" "60272457"
"128" "1055290_ENSG00000110108_TMEM109" "chr11" "60849403" "60850111"
"129" "1055293_ENSG00000110108_TMEM109" "chr11" "60850319" "60851268"
"130" "1056063_ENSG00000167987_VPS37C" "chr11" "61122912" "61124049"
"131" "1056268_ENSG00000229183_PGA4" "chr11" "61202525" "61203375"
"132" "1057608_ENSG00000134780_DAGLA" "chr11" "61646304" "61646580"
"133" "1057664_ENSG00000134780_DAGLA" "chr11" "61663251" "61663574"
"134" "1057673_ENSG00000134780_DAGLA" "chr11" "61665693" "61665974"
"135" "1058083_ENSG00000149485_FADS1" "chr11" "61835620" "61835863"
"136" "1058084_ENSG00000149485_FADS1" "chr11" "61835864" "61835974"
"137" "1058089_ENSG00000149485_FADS1" "chr11" "61837220" "61837648"
"138" "1058090_ENSG00000149485_FADS1" "chr11" "61837649" "61838749"
"139" "1058593_ENSG00000167996_FTH1" "chr11" "62011232" "62011632"
"140" "1060483_ENSG00000162194_LBHD1" "chr11" "62624389" "62624510"
"141" "1060484_ENSG00000162194_LBHD1" "chr11" "62624511" "62624685"
"142" "1060485_ENSG00000162194_LBHD1" "chr11" "62624686" "62624860"
"143" "1060494_ENSG00000162194_LBHD1" "chr11" "62627301" "62627507"
"144" "1060496_ENSG00000162194_LBHD1" "chr11" "62627532" "62627610"
"145" "1060512_ENSG00000162194_LBHD1" "chr11" "62632212" "62633042"
"146" "1060518_ENSG00000162194_LBHD1" "chr11" "62635868" "62636228"
"147" "1060523_ENSG00000162194_LBHD1" "chr11" "62636878" "62637073"
"148" "1060530_ENSG00000162194_LBHD1" "chr11" "62638390" "62638691"
"149" "1060578_ENSG00000162194_LBHD1" "chr11" "62651353" "62651551"
"150" "1063145_ENSG00000176485_PLA2G16" "chr11" "63513588" "63513859"
"151" "1063147_ENSG00000176485_PLA2G16" "chr11" "63513897" "63514140"
"152" "1063157_ENSG00000176485_PLA2G16" "chr11" "63516354" "63517283"
"153" "1063255_ENSG00000176485_PLA2G16" "chr11" "63549195" "63549358"
"154" "1063259_ENSG00000176485_PLA2G16" "chr11" "63549995" "63550637"
"155" "1063265_ENSG00000176485_PLA2G16" "chr11" "63552544" "63552996"
"156" "1063271_ENSG00000176485_PLA2G16" "chr11" "63554694" "63555289"
"157" "1063275_ENSG00000176485_PLA2G16" "chr11" "63555644" "63557477"
"158" "1063678_ENSG00000184743_ATL3" "chr11" "63684531" "63684822"
"159" "1063772_ENSG00000184743_ATL3" "chr11" "63715330" "63716741"
"160" "1063782_ENSG00000184743_ATL3" "chr11" "63719857" "63720200"
"161" "1063810_ENSG00000184743_ATL3" "chr11" "63729475" "63729679"
"162" "1063872_ENSG00000184743_ATL3" "chr11" "63744020" "63745873"
"163" "1063975_ENSG00000184743_ATL3" "chr11" "63781658" "63781764"
"164" "1064018_ENSG00000184743_ATL3" "chr11" "63790468" "63790664"
"165" "1064021_ENSG00000184743_ATL3" "chr11" "63790851" "63791828"
"166" "1064022_ENSG00000184743_ATL3" "chr11" "63791829" "63792159"
"167" "1064027_ENSG00000184743_ATL3" "chr11" "63793059" "63793852"
"168" "1064029_ENSG00000184743_ATL3" "chr11" "63794038" "63794377"
"169" "1064034_ENSG00000184743_ATL3" "chr11" "63795057" "63795664"
"170" "1064051_ENSG00000184743_ATL3" "chr11" "63799574" "63800393"
"171" "1064057_ENSG00000184743_ATL3" "chr11" "63800790" "63801363"
"172" "106409_ENSG00000197982_C1orf122" "chr1" "37785275" "37785559"
"173" "106427_ENSG00000197982_C1orf122" "chr1" "37790236" "37791126"
"174" "106429_ENSG00000197982_C1orf122" "chr1" "37791280" "37791896"
"175" "106446_ENSG00000197982_C1orf122" "chr1" "37799098" "37799250"
"176" "1064894_ENSG00000149761_NUDT22" "chr11" "64110014" "64110359"
"177" "106532_ENSG00000197982_C1orf122" "chr1" "37829575" "37829735"
"178" "106538_ENSG00000197982_C1orf122" "chr1" "37830788" "37832956"
"179" "106540_ENSG00000197982_C1orf122" "chr1" "37834002" "37834124"
"180" "106558_ENSG00000197982_C1orf122" "chr1" "37837025" "37837294"
"181" "106559_ENSG00000197982_C1orf122" "chr1" "37837295" "37837743"
"182" "106563_ENSG00000197982_C1orf122" "chr1" "37839159" "37839582"
"183" "1065641_ENSG00000162302_RPS6KA4" "chr11" "64388665" "64389415"
"184" "1065645_ENSG00000162302_RPS6KA4" "chr11" "64390033" "64390945"
"185" "1065646_ENSG00000162302_RPS6KA4" "chr11" "64390946" "64391983"
"186" "1065650_ENSG00000162302_RPS6KA4" "chr11" "64392418" "64392615"
"187" "1065653_ENSG00000162302_RPS6KA4" "chr11" "64393086" "64393292"
"188" "1065654_ENSG00000162302_RPS6KA4" "chr11" "64393293" "64393467"
"189" "1065656_ENSG00000162302_RPS6KA4" "chr11" "64393779" "64393955"
"190" "1065661_ENSG00000162302_RPS6KA4" "chr11" "64395512" "64396208"
"191" "1065690_ENSG00000162302_RPS6KA4" "chr11" "64402931" "64403061"
"192" "1065699_ENSG00000162302_RPS6KA4" "chr11" "64407235" "64408103"
"193" "106570_ENSG00000197982_C1orf122" "chr1" "37841081" "37841260"
"194" "1065723_ENSG00000162302_RPS6KA4" "chr11" "64414596" "64414859"
"195" "106579_ENSG00000197982_C1orf122" "chr1" "37842860" "37843893"
"196" "106581_ENSG00000197982_C1orf122" "chr1" "37844156" "37844563"
"197" "106591_ENSG00000197982_C1orf122" "chr1" "37849377" "37850188"
"198" "106628_ENSG00000197982_C1orf122" "chr1" "37861502" "37861986"
"199" "106629_ENSG00000197982_C1orf122" "chr1" "37861987" "37862803"
"200" "106641_ENSG00000197982_C1orf122" "chr1" "37865507" "37866536"
"201" "106663_ENSG00000197982_C1orf122" "chr1" "37872321" "37873462"
"202" "106668_ENSG00000197982_C1orf122" "chr1" "37874869" "37875331"
"203" "106686_ENSG00000197982_C1orf122" "chr1" "37879034" "37879543"
"204" "106689_ENSG00000197982_C1orf122" "chr1" "37879955" "37880329"
"205" "106700_ENSG00000197982_C1orf122" "chr1" "37883270" "37884520"
"206" "106703_ENSG00000197982_C1orf122" "chr1" "37885190" "37885364"
"207" "106711_ENSG00000197982_C1orf122" "chr1" "37886644" "37887220"
"208" "106732_ENSG00000197982_C1orf122" "chr1" "37895333" "37895428"
"209" "106742_ENSG00000197982_C1orf122" "chr1" "37898244" "37898471"
"210" "1068988_ENSG00000168056_LTBP3" "chr11" "65527347" "65527514"
"211" "1069001_ENSG00000168056_LTBP3" "chr11" "65532008" "65532200"
"212" "1070169_ENSG00000172500_FIBP" "chr11" "65935235" "65935572"
"213" "1070169_ENSG00000175550_DRAP1" "chr11" "65935235" "65935572"
"214" "1070180_ENSG00000172500_FIBP" "chr11" "65937455" "65937947"
"215" "1070180_ENSG00000175550_DRAP1" "chr11" "65937455" "65937947"
"216" "1070203_ENSG00000172500_FIBP" "chr11" "65943890" "65944060"
"217" "1070203_ENSG00000175550_DRAP1" "chr11" "65943890" "65944060"
"218" "1070246_ENSG00000172500_FIBP" "chr11" "65956767" "65957370"
"219" "1070246_ENSG00000175550_DRAP1" "chr11" "65956767" "65957370"
"220" "1070257_ENSG00000172500_FIBP" "chr11" "65959705" "65960280"
"221" "1070257_ENSG00000175550_DRAP1" "chr11" "65959705" "65960280"
"222" "1070268_ENSG00000172500_FIBP" "chr11" "65962669" "65963279"
"223" "1070268_ENSG00000175550_DRAP1" "chr11" "65962669" "65963279"
"224" "1070274_ENSG00000172500_FIBP" "chr11" "65964728" "65965395"
"225" "1070274_ENSG00000175550_DRAP1" "chr11" "65964728" "65965395"
"226" "1070275_ENSG00000172500_FIBP" "chr11" "65965396" "65966468"
"227" "1070275_ENSG00000175550_DRAP1" "chr11" "65965396" "65966468"
"228" "1070276_ENSG00000172500_FIBP" "chr11" "65966469" "65968185"
"229" "1070276_ENSG00000175550_DRAP1" "chr11" "65966469" "65968185"
"230" "1070277_ENSG00000172500_FIBP" "chr11" "65968186" "65968305"
"231" "1070277_ENSG00000175550_DRAP1" "chr11" "65968186" "65968305"
"232" "1070287_ENSG00000172500_FIBP" "chr11" "65972775" "65972947"
"233" "1070293_ENSG00000172500_FIBP" "chr11" "65974147" "65974324"
"234" "1070293_ENSG00000175550_DRAP1" "chr11" "65974147" "65974324"
"235" "1070300_ENSG00000172500_FIBP" "chr11" "65975341" "65975476"
"236" "1070300_ENSG00000175550_DRAP1" "chr11" "65975341" "65975476"
"237" "1070306_ENSG00000172500_FIBP" "chr11" "65976889" "65977051"
"238" "1070306_ENSG00000175550_DRAP1" "chr11" "65976889" "65977051"
"239" "1070309_ENSG00000172500_FIBP" "chr11" "65979128" "65980023"
"240" "1070309_ENSG00000175550_DRAP1" "chr11" "65979128" "65980023"
"241" "1070310_ENSG00000172500_FIBP" "chr11" "65980024" "65980545"
"242" "1070310_ENSG00000175550_DRAP1" "chr11" "65980024" "65980545"
"243" "1070315_ENSG00000172500_FIBP" "chr11" "65981846" "65983288"
"244" "1070315_ENSG00000175550_DRAP1" "chr11" "65981846" "65983288"
"245" "1070316_ENSG00000172500_FIBP" "chr11" "65983289" "65984484"
"246" "1070316_ENSG00000175550_DRAP1" "chr11" "65983289" "65984484"
"247" "1070322_ENSG00000172500_FIBP" "chr11" "65986445" "65986848"
"248" "1070322_ENSG00000175550_DRAP1" "chr11" "65986445" "65986848"
"249" "1070325_ENSG00000172500_FIBP" "chr11" "65987152" "65987445"
"250" "1070325_ENSG00000175550_DRAP1" "chr11" "65987152" "65987445"
"251" "1070333_ENSG00000172500_FIBP" "chr11" "65988920" "65989701"
"252" "1070333_ENSG00000175550_DRAP1" "chr11" "65988920" "65989701"
"253" "1070336_ENSG00000172500_FIBP" "chr11" "65989878" "65990175"
"254" "1070336_ENSG00000175550_DRAP1" "chr11" "65989878" "65990175"
"255" "1070351_ENSG00000172500_FIBP" "chr11" "65993537" "65994489"
"256" "1070351_ENSG00000175550_DRAP1" "chr11" "65993537" "65994489"
"257" "1070357_ENSG00000172500_FIBP" "chr11" "65995315" "65995723"
"258" "1070357_ENSG00000175550_DRAP1" "chr11" "65995315" "65995723"
"259" "1070362_ENSG00000172500_FIBP" "chr11" "65996169" "65997277"
"260" "1070362_ENSG00000175550_DRAP1" "chr11" "65996169" "65997277"
"261" "1070375_ENSG00000172500_FIBP" "chr11" "66001423" "66001983"
"262" "1070375_ENSG00000175550_DRAP1" "chr11" "66001423" "66001983"
"263" "1070377_ENSG00000172500_FIBP" "chr11" "66002137" "66003004"
"264" "1070377_ENSG00000175550_DRAP1" "chr11" "66002137" "66003004"
"265" "1070397_ENSG00000172500_FIBP" "chr11" "66009039" "66009180"
"266" "1070397_ENSG00000175550_DRAP1" "chr11" "66009039" "66009180"
"267" "1070408_ENSG00000172500_FIBP" "chr11" "66013157" "66014253"
"268" "1070408_ENSG00000175550_DRAP1" "chr11" "66013157" "66014253"
"269" "1075102_ENSG00000110711_AIP" "chr11" "67521038" "67521201"
"270" "1076491_ENSG00000110719_TCIRG1" "chr11" "68004743" "68005071"
"271" "1076495_ENSG00000110719_TCIRG1" "chr11" "68006348" "68006630"
"272" "1087117_ENSG00000149357_LAMTOR1" "chr11" "72140038" "72140628"
"273" "1087120_ENSG00000149357_LAMTOR1" "chr11" "72141035" "72141154"
"274" "1087121_ENSG00000149357_LAMTOR1" "chr11" "72141155" "72141342"
"275" "1090077_ENSG00000175591_P2RY2" "chr11" "73188452" "73188733"
"276" "1090079_ENSG00000175591_P2RY2" "chr11" "73189137" "73189523"
"277" "1097291_ENSG00000198382_UVRAG" "chr11" "75775860" "75776277"
"278" "1127915_ENSG00000123892_RAB38" "chr11" "88290982" "88292036"
"279" "1127918_ENSG00000123892_RAB38" "chr11" "88292954" "88293060"
"280" "1127922_ENSG00000123892_RAB38" "chr11" "88294237" "88295361"
"281" "1127923_ENSG00000123892_RAB38" "chr11" "88295362" "88297616"
"282" "1128098_ENSG00000109861_CTSC" "chr11" "88376125" "88377143"
"283" "1128108_ENSG00000109861_CTSC" "chr11" "88382101" "88383130"
"284" "1128110_ENSG00000109861_CTSC" "chr11" "88383155" "88383757"
"285" "1128111_ENSG00000109861_CTSC" "chr11" "88383758" "88385349"
"286" "1128124_ENSG00000109861_CTSC" "chr11" "88388509" "88388918"
"287" "1128126_ENSG00000109861_CTSC" "chr11" "88389185" "88391472"
"288" "1144118_ENSG00000149212_SESN3" "chr11" "95171410" "95172988"
"289" "115626_ENSG00000117016_RIMS3" "chr1" "40955967" "40956724"
"290" "115626_ENSG00000179862_CITED4" "chr1" "40955967" "40956724"
"291" "115627_ENSG00000117016_RIMS3" "chr1" "40956725" "40957140"
"292" "115627_ENSG00000179862_CITED4" "chr1" "40956725" "40957140"
"293" "115628_ENSG00000179862_CITED4" "chr1" "40957141" "40957375"
"294" "115631_ENSG00000117016_RIMS3" "chr1" "40957739" "40958052"
"295" "115631_ENSG00000179862_CITED4" "chr1" "40957739" "40958052"
"296" "115632_ENSG00000179862_CITED4" "chr1" "40958053" "40958188"
"297" "115633_ENSG00000117016_RIMS3" "chr1" "40958189" "40958923"
"298" "115633_ENSG00000179862_CITED4" "chr1" "40958189" "40958923"
"299" "115634_ENSG00000117016_RIMS3" "chr1" "40958924" "40958996"
"300" "115634_ENSG00000179862_CITED4" "chr1" "40958924" "40958996"
"301" "115635_ENSG00000179862_CITED4" "chr1" "40958997" "40959331"
"302" "115636_ENSG00000179862_CITED4" "chr1" "40959332" "40959356"
"303" "115638_ENSG00000179862_CITED4" "chr1" "40959468" "40959712"
"304" "115642_ENSG00000117016_RIMS3" "chr1" "40960013" "40960206"
"305" "115642_ENSG00000179862_CITED4" "chr1" "40960013" "40960206"
"306" "115649_ENSG00000179862_CITED4" "chr1" "40961055" "40961375"
"307" "115652_ENSG00000179862_CITED4" "chr1" "40962030" "40962328"
"308" "115654_ENSG00000117016_RIMS3" "chr1" "40962579" "40963176"
"309" "115654_ENSG00000179862_CITED4" "chr1" "40962579" "40963176"
"310" "115657_ENSG00000117016_RIMS3" "chr1" "40963520" "40963693"
"311" "115657_ENSG00000179862_CITED4" "chr1" "40963520" "40963693"
"312" "115660_ENSG00000117016_RIMS3" "chr1" "40964151" "40964496"
"313" "115660_ENSG00000179862_CITED4" "chr1" "40964151" "40964496"
"314" "115661_ENSG00000179862_CITED4" "chr1" "40964497" "40965502"
"315" "1160937_ENSG00000152558_TMEM123" "chr11" "102411590" "102411975"
"316" "1160954_ENSG00000152558_TMEM123" "chr11" "102417657" "102417854"
"317" "1161006_ENSG00000152558_TMEM123" "chr11" "102445754" "102446033"
"318" "1166871_ENSG00000137752_CASP1" "chr11" "105053993" "105054444"
"319" "1166873_ENSG00000137752_CASP1" "chr11" "105054971" "105055676"
"320" "1166881_ENSG00000137752_CASP1" "chr11" "105057884" "105058249"
"321" "1166882_ENSG00000137752_CASP1" "chr11" "105058250" "105059225"
"322" "1166893_ENSG00000137752_CASP1" "chr11" "105062110" "105063189"
"323" "1166895_ENSG00000137752_CASP1" "chr11" "105063839" "105064485"
"324" "1166897_ENSG00000137752_CASP1" "chr11" "105064695" "105065140"
"325" "1166902_ENSG00000137752_CASP1" "chr11" "105067244" "105067792"
"326" "1166913_ENSG00000137752_CASP1" "chr11" "105070039" "105070862"
"327" "1166941_ENSG00000137752_CASP1" "chr11" "105081435" "105081682"
"328" "1166946_ENSG00000137752_CASP1" "chr11" "105083159" "105083835"
"329" "1166955_ENSG00000137752_CASP1" "chr11" "105086030" "105086181"
"330" "1166956_ENSG00000137752_CASP1" "chr11" "105086182" "105087185"
"331" "1166957_ENSG00000137752_CASP1" "chr11" "105087186" "105087708"
"332" "1166959_ENSG00000137752_CASP1" "chr11" "105088243" "105088483"
"333" "1166963_ENSG00000137752_CASP1" "chr11" "105089124" "105089765"
"334" "1166964_ENSG00000137752_CASP1" "chr11" "105089766" "105090929"
"335" "1166965_ENSG00000137752_CASP1" "chr11" "105090930" "105092772"
"336" "1166968_ENSG00000137752_CASP1" "chr11" "105092976" "105094362"
"337" "1166973_ENSG00000137752_CASP1" "chr11" "105095173" "105097153"
"338" "1166975_ENSG00000137752_CASP1" "chr11" "105097314" "105097713"
"339" "1166978_ENSG00000137752_CASP1" "chr11" "105097810" "105098092"
"340" "1166983_ENSG00000137752_CASP1" "chr11" "105099946" "105102035"
"341" "1166984_ENSG00000137752_CASP1" "chr11" "105102036" "105104737"
"342" "1167005_ENSG00000137752_CASP1" "chr11" "105110021" "105110194"
"343" "1167018_ENSG00000137752_CASP1" "chr11" "105112771" "105113134"
"344" "1167026_ENSG00000137752_CASP1" "chr11" "105116366" "105117134"
"345" "1167029_ENSG00000137752_CASP1" "chr11" "105117899" "105118432"
"346" "1167033_ENSG00000137752_CASP1" "chr11" "105119967" "105120372"
"347" "1167034_ENSG00000137752_CASP1" "chr11" "105120373" "105121135"
"348" "1169109_ENSG00000149313_AASDHPPT" "chr11" "106058998" "106059537"
"349" "1173460_ENSG00000110660_SLC35F2" "chr11" "107868945" "107869190"
"350" "1179914_ENSG00000137714_FDX1" "chr11" "110375305" "110375928"
"351" "1180081_ENSG00000137714_FDX1" "chr11" "110434834" "110435154"
"352" "1180087_ENSG00000137714_FDX1" "chr11" "110437099" "110437231"
"353" "1180088_ENSG00000137714_FDX1" "chr11" "110437232" "110437732"
"354" "1180089_ENSG00000137714_FDX1" "chr11" "110437733" "110438704"
"355" "1180106_ENSG00000137714_FDX1" "chr11" "110441845" "110442312"
"356" "1180142_ENSG00000137714_FDX1" "chr11" "110455761" "110456746"
"357" "1180147_ENSG00000137714_FDX1" "chr11" "110458671" "110458842"
"358" "1180148_ENSG00000137714_FDX1" "chr11" "110458843" "110459787"
"359" "1180154_ENSG00000137714_FDX1" "chr11" "110462836" "110463119"
"360" "1180155_ENSG00000137714_FDX1" "chr11" "110463120" "110463630"
